,anime_id,title,score,score_count,rank,popularity,background,related,genre
10039,7,Witch Hunter Robin,7.34,2169,2292.0,1104,,[],"Action, Magic, Police, Supernatural, Drama, Mystery"
10247,51,Tenshi Kinryouku,6.42,1891,5942.0,1794,,"{'Adaptation': [{'mal_id': 448, 'type': 'manga', 'url': 'https://myanimelist.net/manga/448/Tenshi_Kinryouku', 'title': 'Tenshi Kinryouku'}]}","Action, Drama, Romance, Shoujo, Supernatural"
2030,54,Appleseed (Movie),7.19,2508,2835.0,1425,,"{'Alternative version': [{'mal_id': 937, 'type': 'anime', 'url': 'https://myanimelist.net/anime/937/Appleseed', 'title': 'Appleseed'}, {'mal_id': 22677, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22677/Appleseed_Alpha', 'title': 'Appleseed Alpha'}], 'Sequel': [{'mal_id': 2969, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2969/Appleseed_Saga_Ex_Machina', 'title': 'Appleseed Saga Ex Machina'}]}","Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
5036,58,Blue Gender,7.11,1283,3148.0,1522,,"{'Adaptation': [{'mal_id': 40203, 'type': 'manga', 'url': 'https://myanimelist.net/manga/40203/Blue_Gender', 'title': 'Blue Gender'}], 'Summary': [{'mal_id': 1380, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1380/Blue_Gender__The_Warrior', 'title': 'Blue Gender: The Warrior'}]}","Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
10769,77,Mahou Shoujo Lyrical Nanoha A&#039;s,8.07,1661,466.0,1574,,"{'Adaptation': [{'mal_id': 3236, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3236/Mahou_Shoujo_Lyrical_Nanoha_As', 'title': 'Mahou Shoujo Lyrical Nanoha A&#039;s'}], 'Prequel': [{'mal_id': 76, 'type': 'anime', 'url': 'https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha', 'title': 'Mahou Shoujo Lyrical Nanoha'}], 'Sequel': [{'mal_id': 1915, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1915/Mahou_Shoujo_Lyrical_Nanoha_StrikerS', 'title': 'Mahou Shoujo Lyrical Nanoha StrikerS'}], 'Alternative version': [{'mal_id': 10153, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10153/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_2nd_As', 'title': 'Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s'}]}","Action, Comedy, Drama, Magic, Super Power"
13409,87,Mobile Suit Gundam: Char&#039;s Counterattack,7.77,745,948.0,2406,,"{'Adaptation': [{'mal_id': 30591, 'type': 'manga', 'url': 'https://myanimelist.net/manga/30591/Kidou_Senshi_Gundam__Gyakushuu_no_Char_-_High_Streamer', 'title': 'Kidou Senshi Gundam: Gyakushuu no Char - High Streamer'}, {'mal_id': 68983, 'type': 'manga', 'url': 'https://myanimelist.net/manga/68983/Kidou_Senshi_Gundam__Gyakushuu_no_Char', 'title': 'Kidou Senshi Gundam: Gyakushuu no Char'}], 'Prequel': [{'mal_id': 86, 'type': 'anime', 'url': 'https://myanimelist.net/anime/86/Mobile_Suit_Gundam_ZZ', 'title': 'Mobile Suit Gundam ZZ'}], 'Sequel': [{'mal_id': 6336, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6336/Mobile_Suit_Gundam_Unicorn', 'title': 'Mobile Suit Gundam Unicorn'}, {'mal_id': 32792, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32792/Mobile_Suit_Gundam_Unicorn_RE_0096', 'title': 'Mobile Suit Gundam Unicorn RE:0096'}], 'Summary': [{'mal_id': 14007, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14007/Akai_Shouzou__Char_Soshite_Frontal_e', 'title': 'Akai Shouzou: Char, Soshite Frontal e'}, {'mal_id': 24371, 'type': 'anime', 'url': 'https://myanimelist.net/anime/24371/Mobile_Suit_Gundam_Unicorn__Episode_EX_-_100_Years_of_Solitude', 'title': 'Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude'}]}","Military, Sci-Fi, Space, Drama, Mecha"
4640,100,Shin Shirayuki-hime Densetsu Prétear,7.3,1381,2442.0,1686,,"{'Adaptation': [{'mal_id': 1248, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1248/Shin_Shirayuki-hime_Densetsu_Pretear', 'title': 'Shin Shirayuki-hime Densetsu Pretear'}]}","Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
3667,101,Air,7.42,7432,1919.0,340,,"{'Adaptation': [{'mal_id': 1604, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1604/Air', 'title': 'Air'}], 'Side story': [{'mal_id': 656, 'type': 'anime', 'url': 'https://myanimelist.net/anime/656/Air_in_Summer', 'title': 'Air in Summer'}], 'Alternative version': [{'mal_id': 713, 'type': 'anime', 'url': 'https://myanimelist.net/anime/713/Air_Movie', 'title': 'Air Movie'}], 'Summary': [{'mal_id': 36032, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36032/Air_Soushuuhen', 'title': 'Air Soushuuhen'}]}","Slice of Life, Supernatural, Drama, Romance"
4352,110,Chuuka Ichiban!,7.7,265,1099.0,3583,,"{'Adaptation': [{'mal_id': 944, 'type': 'manga', 'url': 'https://myanimelist.net/manga/944/Chuuka_Ichiban', 'title': 'Chuuka Ichiban!'}]}","Action, Comedy, Drama, Shounen"
892,125,Futakoi,6.59,960,5247.0,2250,,"{'Alternative version': [{'mal_id': 126, 'type': 'anime', 'url': 'https://myanimelist.net/anime/126/Futakoi_Alternative', 'title': 'Futakoi Alternative'}]}","Comedy, Romance, School"
