,anime_id,title,score,score_count,rank,popularity,related,genre,producer
9132,1,Cowboy Bebop,8.81,5062,27.0,38,"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop', 'title': 'Cowboy Bebop'}, {'mal_id': 174, 'type': 'manga', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop', 'title': 'Shooting Star Bebop: Cowboy Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira', 'title': 'Cowboy Bebop: Tengoku no Tobira'}, {'mal_id': 17205, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi', 'title': 'Cowboy Bebop: Ein no Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues', 'title': 'Cowboy Bebop: Yose Atsume Blues'}]}","Action, Adventure, Comedy, Drama, Sci-Fi, Space",Bandai Visual
5885,15,Eyeshield 21,8.05,778,487.0,812,"{'Adaptation': [{'mal_id': 43, 'type': 'manga', 'url': 'https://myanimelist.net/manga/43/Eyeshield_21', 'title': 'Eyeshield 21'}], 'Side story': [{'mal_id': 1317, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl', 'title': 'Eyeshield 21: Maboroshi no Golden Bowl'}, {'mal_id': 6418, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6418/Eyeshield_21__Jump_Festa_2005_Special', 'title': 'Eyeshield 21: Jump Festa 2005 Special'}]}","Action, Sports, Comedy, Shounen","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha"
7624,19,Monster,8.69,1543,49.0,152,"{'Adaptation': [{'mal_id': 1, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1/Monster', 'title': 'Monster'}], 'Summary': [{'mal_id': 1109, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1109/Monster_Extra', 'title': 'Monster Extra'}]}","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","VAP, Shogakukan Productions, Nippon Television Network"
266,22,Tennis no Ouji-sama,8.01,794,550.0,806,"{'Adaptation': [{'mal_id': 49, 'type': 'manga', 'url': 'https://myanimelist.net/manga/49/Tennis_no_Ouji-sama', 'title': 'Tennis no Ouji-sama'}], 'Side story': [{'mal_id': 814, 'type': 'anime', 'url': 'https://myanimelist.net/anime/814/Tennis_no_Ouji-sama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri', 'title': 'Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri'}, {'mal_id': 815, 'type': 'anime', 'url': 'https://myanimelist.net/anime/815/Tennis_no_Ouji-sama_Movie_1__Futari_no_Samurai_-_The_First_Game', 'title': 'Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game'}, {'mal_id': 1190, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1190/Tennis_no_Ouji-sama__Sonzoku_Yama_no_Hi', 'title': 'Tennis no Ouji-sama: Sonzoku Yama no Hi'}, {'mal_id': 5996, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special', 'title': 'Tennis no Ouji-sama: Oshougatsu Special'}, {'mal_id': 10731, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10731/Tennis_no_Ouji-sama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen', 'title': 'Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!'}, {'mal_id': 10862, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10862/Tennis_no_Ouji-sama__Pair_Prince', 'title': 'Tennis no Ouji-sama: Pair Prince'}, {'mal_id': 29697, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29697/Tennis_no_Ouji-sama__Message_in_a_Bottle', 'title': 'Tennis no Ouji-sama: Message in a Bottle'}], 'Sequel': [{'mal_id': 995, 'type': 'anime', 'url': 'https://myanimelist.net/anime/995/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen', 'title': 'Tennis no Ouji-sama: Zenkoku Taikai-hen'}], 'Other': [{'mal_id': 6749, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6749/Tennis_no_Ouji-sama__The_Band_of_Princes_Film_Kick_the_Future', 'title': 'Tennis no Ouji-sama: The Band of Princes Film Kick the Future'}, {'mal_id': 10276, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10276/Tennis_no_Ouji-sama__Mini_Theater', 'title': 'Tennis no Ouji-sama: Mini Theater'}], 'Alternative version': [{'mal_id': 36952, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36952/Tennis_no_Ouji-sama__Best_Games', 'title': 'Tennis no Ouji-sama: Best Games!!'}]}","Action, Comedy, Sports, School, Shounen","Production I.G, Nihon Ad Systems"
3112,45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.4,2417,168.0,240,"{'Adaptation': [{'mal_id': 22, 'type': 'manga', 'url': 'https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan', 'title': 'Rurouni Kenshin: Meiji Kenkaku Romantan'}], 'Prequel': [{'mal_id': 44, 'type': 'anime', 'url': 'https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen', 'title': 'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen'}], 'Side story': [{'mal_id': 46, 'type': 'anime', 'url': 'https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka', 'title': 'Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka'}, {'mal_id': 4664, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4664/Rurouni_Kenshin__Special_Techniques', 'title': 'Rurouni Kenshin: Special Techniques'}, {'mal_id': 9716, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9716/Rurouni_Kenshin__Review_Special', 'title': 'Rurouni Kenshin: Review Special'}, {'mal_id': 12067, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12067/Rurouni_Kenshin_Special', 'title': 'Rurouni Kenshin Special'}], 'Sequel': [{'mal_id': 401, 'type': 'anime', 'url': 'https://myanimelist.net/anime/401/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen', 'title': 'Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen'}], 'Alternative version': [{'mal_id': 6591, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6591/Rurouni_Kenshin_DVD-BOX_Special_Ending', 'title': 'Rurouni Kenshin DVD-BOX Special Ending'}, {'mal_id': 11441, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11441/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Shin_Kyoto-hen', 'title': 'Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen'}], 'Summary': [{'mal_id': 10334, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10334/Rurouni_Kenshin_Recap', 'title': 'Rurouni Kenshin Recap'}], 'Other': [{'mal_id': 37537, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37537/Sobakasu', 'title': 'Sobakasu'}]}","Action, Adventure, Comedy, Historical, Romance, Samurai","Aniplex, SME Visual Works, Fuji TV"
9014,62,D.C.: Da Capo,6.87,596,4030.0,1405,"{'Adaptation': [{'mal_id': 3052, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3052/Da_Capo', 'title': 'Da Capo'}], 'Sequel': [{'mal_id': 291, 'type': 'anime', 'url': 'https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season', 'title': 'D.C.S.S: Da Capo Second Season'}], 'Alternative setting': [{'mal_id': 5216, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5216/DCif__Da_Capo_if', 'title': 'D.C.if: Da Capo if'}, {'mal_id': 9393, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9393/TP_Sakura__Time_Paladin_Sakura', 'title': 'T.P. Sakura: Time Paladin Sakura'}], 'Other': [{'mal_id': 9353, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9353/DC_I_II_PSP_Re-Animated', 'title': 'D.C. I&II P.S.P. Re-Animated'}]}","Harem, Drama, Magic, Romance","Lantis, King Records"
1931,82,Mobile Suit Gundam 0080: War in the Pocket,7.87,289,764.0,2124,"{'Adaptation': [{'mal_id': 23869, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23869/Mobile_Suit_Gundam_0080__War_in_the_Pocket', 'title': 'Mobile Suit Gundam 0080: War in the Pocket'}], 'Prequel': [{'mal_id': 80, 'type': 'anime', 'url': 'https://myanimelist.net/anime/80/Mobile_Suit_Gundam', 'title': 'Mobile Suit Gundam'}], 'Side story': [{'mal_id': 81, 'type': 'anime', 'url': 'https://myanimelist.net/anime/81/Mobile_Suit_Gundam__The_08th_MS_Team', 'title': 'Mobile Suit Gundam: The 08th MS Team'}], 'Sequel': [{'mal_id': 84, 'type': 'anime', 'url': 'https://myanimelist.net/anime/84/Mobile_Suit_Gundam_0083__Stardust_Memory', 'title': 'Mobile Suit Gundam 0083: Stardust Memory'}]}","Military, Sci-Fi, Space, Drama, Mecha",Bandai Visual
4601,97,Last Exile,7.9,1179,699.0,689,"{'Adaptation': [{'mal_id': 30207, 'type': 'manga', 'url': 'https://myanimelist.net/manga/30207/Last_Exile__Sunadokei_no_Tabibito', 'title': 'Last Exile: Sunadokei no Tabibito'}], 'Sequel': [{'mal_id': 10336, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10336/Last_Exile__Ginyoku_no_Fam', 'title': 'Last Exile: Ginyoku no Fam'}], 'Summary': [{'mal_id': 12429, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12429/Last_Exile__Ginyoku_no_Fam_Recaps', 'title': 'Last Exile: Ginyoku no Fam Recaps'}]}","Action, Sci-Fi, Adventure","GDH, Victor Entertainment, TV Tokyo Music"
6419,119,Final Approach,6.64,378,5009.0,2217,[],"Comedy, Drama, Romance, Slice of Life",Trinet Entertainment
32,120,Fruits Basket,7.77,3376,939.0,222,"{'Adaptation': [{'mal_id': 102, 'type': 'manga', 'url': 'https://myanimelist.net/manga/102/Fruits_Basket', 'title': 'Fruits Basket'}]}","Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo","TV Tokyo, Nihon Ad Systems, King Records"
